1	-4.70469	21.93487	58.36384
0.98	-7.69317	24.78559	72.26931
0.96	-10.02119	15.3229	66.11618
0.94	-8.98732	38.85401	57.15266
0.92	-10.1159	24.66304	71.00586
0.9	-6.83004	19.62816	61.91572
0.88	-5.66806	11.97822	59.67704
0.86	-8.85762	12.4402	75.4629
0.84	-7.94794	19.16414	63.44667
0.82	-8.8835	22.02896	73.76296
0.8	-10.08611	21.02415	72.98123
0.78	-9.38179	22.33567	73.09188
0.76	-11.91034	23.8268	74.756
0.74	-10.03682	14.7146	75.05566
0.72	-8.60531	8.63358	73.31805
0.7	-7.76614	10.8447	73.55363
0.68	-3.91632	9.8665	73.25043
0.66	-2.16235	12.04609	73.15822
0.64	-2.17512	13.98321	88.7294
0.62	-5.72652	30.84955	84.81667
0.6	-3.22792	17.75752	79.37591
0.58	-4.86564	15.84804	78.26844
0.56	-3.25667	20.83563	77.90551
0.54	-6.52931	18.20569	56.4564
0.52	-4.47619	17.20989	68.60536
0.5	-2.20223	21.16181	67.93417
0.48	-0.59417	23.58647	66.88579
0.46	-2.86081	24.48127	66.77111
0.44	-2.19356	26.83606	63.60332
0.42	-4.76912	28.35733	64.43433
0.4	-2.95596	26.97348	63.83443
0.38	2.41399	27.58791	63.27992
0.36	-0.50424	29.8836	60.5231
0.34	0.66969	31.26655	57.33225
0.32	-1.51102	29.02028	58.33273
0.3	-2.81833	30.21321	56.49886
0.28	-2.08571	27.85418	58.74274
0.26	1.59961	33.85834	59.38517
0.24	0.00858	28.32145	57.82082
0.22	0.91338	33.27323	64.30102
0.2	-0.98586	20.27882	60.68925
