-0.2	-10.48928	38.1781	94.27929
-0.22	-11.72951	24.56232	91.47813
-0.24	-12.44819	26.64897	88.67849
-0.26	-11.30466	22.556	86.53769
-0.28	-12.58235	23.59378	85.44177
-0.3	-10.11372	31.75589	64.9923
-0.32	-10.21149	27.79403	96.91509
-0.34	-17.39904	23.28113	115.6347
-0.36	-14.72533	19.57195	89.54185
-0.38	-14.10282	21.53215	88.4178
-0.4	-11.83784	17.91448	88.17893
-0.42	-7.72359	20.21546	88.78477
-0.44	-9.40422	18.2041	89.18013
-0.46	-11.02078	16.74425	88.96409
-0.48	-7.21679	13.99184	88.6878
-0.5	-8.10143	13.37555	93.43424
-0.52	-4.62513	14.28495	89.57548
-0.54	-7.56437	14.43629	89.30318
-0.56	-8.30411	16.71239	88.14718
-0.58	-7.82237	14.77661	81.73087
-0.6	-6.98229	14.76119	88.20771
-0.62	-7.70888	13.65382	88.43305
-0.64	-11.36488	12.05542	88.39451
-0.66	-10.34577	13.50207	87.98401
-0.68	-10.96371	13.61897	88.22584
-0.7	-6.23195	13.46788	87.86622
-0.72	-6.76578	13.01041	87.43624
-0.74	-6.38339	-0.94619	86.94871
-0.76	-8.54099	-0.31402	86.85069
-0.78	-8.54299	51.57121	86.56081
-0.8	-10.37806	18.8144	86.70823
-0.82	-8.52099	15.63073	86.34197
-0.84	-6.28176	17.87954	86.9476
-0.86	-5.96942	17.09478	86.63559
-0.88	-6.06322	18.68721	86.1096
-0.9	-9.70782	18.67814	85.91667
-0.92	-7.67385	19.46797	85.91434
-0.94	-5.88698	19.75132	85.6004
-0.96	-6.82383	19.75374	85.38001
-0.98	-7.16105	19.29873	85.47537
-1	-9.12783	21.26271	85.47537
